hardware_joint_id,hardware_joint_name,mujoco_joint_name,hardware_zero,mujoco_zero,sign,encoder_offset,hardware_min,hardware_max,hardware_limit_unit,mujoco_min,mujoco_max,mujoco_limit_unit,hardware_group,hardware_group_index,notes,field_test_min,field_test_max,field_test_unit,field_test_coordinate_relation,field_test_evidence_source,array_index_status,array_index_evidence_source,hardware_mujoco_mapping_status,hardware_mujoco_mapping_evidence_source,live_array_length,live_array_length_source,live_joint_name,live_joint_name_source,live_joint_name_field_status,live_schema_evidence_source,effort_definition,effort_definition_source
UNKNOWN,head_yaw,head_yaw_joint,UNKNOWN,0,UNKNOWN,UNKNOWN,-20,20,deg,-0.349066,0.349066,rad,head,0,Official state-array order is yaw then pitch; hardware ID/zero/sign/encoder offset and effort physical origin remain UNKNOWN; Phase2B live index 0 name head_yaw_joint confirmed by passive capture; hardware ID/zero/sign/encoder offset remain UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CONFIRMED_BY_LIVE_NAME,Live JointState.name at this index in calibration/evidence/x2_phase2b_static_capture.txt,CONFIRMED_NAME_MATCH_ONLY,Live hardware JointState.name exactly equals current MuJoCo joint name; direction and zero remain unverified,[2],READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,head_yaw_joint,READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,"POPULATED:[""head_yaw_joint""]",READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,TORQUE_N_M_DOCUMENTED; PHYSICAL_ORIGIN_UNKNOWN,https://x2-aimdk.agibot.com/en/v0.9.0/Interface/control_mod/joint_control.html
UNKNOWN,head_pitch,NOT_PRESENT_FIXED_0_DEG,UNKNOWN,0,UNKNOWN,UNKNOWN,0,0,deg,0,0,rad,head,1,Official interface reserves pitch but current hardware/documented range is 0 deg; no MuJoCo joint in X2 limits model; Phase2B live index 1 name head_pitch_joint confirmed by passive capture; hardware ID/zero/sign/encoder offset remain UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CONFIRMED_BY_LIVE_NAME,Live JointState.name at this index in calibration/evidence/x2_phase2b_static_capture.txt,INFERRED_CANDIDATE,"Live hardware name confirmed, but no exact current MuJoCo joint-name match",[2],READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,head_pitch_joint,READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,"POPULATED:[""head_pitch_joint""]",READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,TORQUE_N_M_DOCUMENTED; PHYSICAL_ORIGIN_UNKNOWN,https://x2-aimdk.agibot.com/en/v0.9.0/Interface/control_mod/joint_control.html
UNKNOWN,left_shoulder_pitch,left_shoulder_pitch_joint,UNKNOWN,0,UNKNOWN,UNKNOWN,-116.5,176.5,deg,-3.080506,2.033309,rad,arm,0,Canonical label from official left-first arm array order; current MJCF range contains an unverified axis reversal; Phase2B live index 0 name left_shoulder_pitch_joint confirmed by passive capture; hardware ID/zero/sign/encoder offset remain UNKNOWN,-176.471,116.883,deg,NOT_ESTABLISHED,"FIELD_TEST_EVIDENCE: operator-supplied soft-engineer arm limits and Agentech.heart() endpoint observations, 2026-08-11",CONFIRMED_BY_LIVE_NAME,Live JointState.name at this index in calibration/evidence/x2_phase2b_static_capture.txt,CONFIRMED_NAME_MATCH_ONLY,Live hardware JointState.name exactly equals current MuJoCo joint name; direction and zero remain unverified,[14],READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,left_shoulder_pitch_joint,READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,"POPULATED:[""left_shoulder_pitch_joint""]",READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,TORQUE_N_M_DOCUMENTED; PHYSICAL_ORIGIN_UNKNOWN,https://x2-aimdk.agibot.com/en/v0.9.0/Interface/control_mod/joint_control.html
UNKNOWN,left_shoulder_roll,left_shoulder_roll_joint,UNKNOWN,0,UNKNOWN,UNKNOWN,-3.5,174.5,deg,-0.061087,3.045600,rad,arm,1,Canonical label from official left-first arm array order; Phase2B live index 1 name left_shoulder_roll_joint confirmed by passive capture; hardware ID/zero/sign/encoder offset remain UNKNOWN,-3.495,171.486,deg,LEFT_RIGHT_MIRRORED,"FIELD_TEST_EVIDENCE: operator-supplied soft-engineer arm limits and Agentech.heart() endpoint observations, 2026-08-11",CONFIRMED_BY_LIVE_NAME,Live JointState.name at this index in calibration/evidence/x2_phase2b_static_capture.txt,CONFIRMED_NAME_MATCH_ONLY,Live hardware JointState.name exactly equals current MuJoCo joint name; direction and zero remain unverified,[14],READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,left_shoulder_roll_joint,READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,"POPULATED:[""left_shoulder_roll_joint""]",READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,TORQUE_N_M_DOCUMENTED; PHYSICAL_ORIGIN_UNKNOWN,https://x2-aimdk.agibot.com/en/v0.9.0/Interface/control_mod/joint_control.html
UNKNOWN,left_shoulder_yaw,left_shoulder_yaw_joint,UNKNOWN,0,UNKNOWN,UNKNOWN,-146.5,146.5,deg,-2.556908,2.556908,rad,arm,2,Canonical label from official left-first arm array order; Phase2B live index 2 name left_shoulder_yaw_joint confirmed by passive capture; hardware ID/zero/sign/encoder offset remain UNKNOWN,-146.448,146.448,deg,NOT_ESTABLISHED,"FIELD_TEST_EVIDENCE: operator-supplied soft-engineer arm limits and Agentech.heart() endpoint observations, 2026-08-11",CONFIRMED_BY_LIVE_NAME,Live JointState.name at this index in calibration/evidence/x2_phase2b_static_capture.txt,CONFIRMED_NAME_MATCH_ONLY,Live hardware JointState.name exactly equals current MuJoCo joint name; direction and zero remain unverified,[14],READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,left_shoulder_yaw_joint,READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,"POPULATED:[""left_shoulder_yaw_joint""]",READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,TORQUE_N_M_DOCUMENTED; PHYSICAL_ORIGIN_UNKNOWN,https://x2-aimdk.agibot.com/en/v0.9.0/Interface/control_mod/joint_control.html
UNKNOWN,left_elbow,left_elbow_joint,UNKNOWN,0,UNKNOWN,UNKNOWN,-135,0,deg,-2.356194,0,rad,arm,3,Canonical label from official left-first arm array order; Phase2B live index 3 name left_elbow_joint confirmed by passive capture; hardware ID/zero/sign/encoder offset remain UNKNOWN,-134.965,0,deg,NOT_ESTABLISHED,"FIELD_TEST_EVIDENCE: operator-supplied soft-engineer arm limits and Agentech.heart() endpoint observations, 2026-08-11",CONFIRMED_BY_LIVE_NAME,Live JointState.name at this index in calibration/evidence/x2_phase2b_static_capture.txt,CONFIRMED_NAME_MATCH_ONLY,Live hardware JointState.name exactly equals current MuJoCo joint name; direction and zero remain unverified,[14],READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,left_elbow_joint,READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,"POPULATED:[""left_elbow_joint""]",READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,TORQUE_N_M_DOCUMENTED; PHYSICAL_ORIGIN_UNKNOWN,https://x2-aimdk.agibot.com/en/v0.9.0/Interface/control_mod/joint_control.html
UNKNOWN,left_wrist_yaw,left_wrist_yaw_joint,UNKNOWN,0,UNKNOWN,UNKNOWN,-146.5,146.5,deg,-2.556908,2.556908,rad,arm,4,Canonical label from official left-first arm array order; Phase2B live index 4 name left_wrist_yaw_joint confirmed by passive capture; hardware ID/zero/sign/encoder offset remain UNKNOWN,-146.448,146.448,deg,NOT_ESTABLISHED,"FIELD_TEST_EVIDENCE: operator-supplied soft-engineer arm limits and Agentech.heart() endpoint observations, 2026-08-11",CONFIRMED_BY_LIVE_NAME,Live JointState.name at this index in calibration/evidence/x2_phase2b_static_capture.txt,CONFIRMED_NAME_MATCH_ONLY,Live hardware JointState.name exactly equals current MuJoCo joint name; direction and zero remain unverified,[14],READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,left_wrist_yaw_joint,READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,"POPULATED:[""left_wrist_yaw_joint""]",READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,TORQUE_N_M_DOCUMENTED; PHYSICAL_ORIGIN_UNKNOWN,https://x2-aimdk.agibot.com/en/v0.9.0/Interface/control_mod/joint_control.html
UNKNOWN,left_wrist_pitch,left_wrist_pitch_joint,UNKNOWN,0,UNKNOWN,UNKNOWN,-33,33,deg,-0.575959,0.575959,rad,arm,5,Canonical label from official left-first arm array order; Phase2B live index 5 name left_wrist_pitch_joint confirmed by passive capture; hardware ID/zero/sign/encoder offset remain UNKNOWN,-31.971,31.971,deg,NOT_ESTABLISHED,"FIELD_TEST_EVIDENCE: operator-supplied soft-engineer arm limits and Agentech.heart() endpoint observations, 2026-08-11",CONFIRMED_BY_LIVE_NAME,Live JointState.name at this index in calibration/evidence/x2_phase2b_static_capture.txt,CONFIRMED_NAME_MATCH_ONLY,Live hardware JointState.name exactly equals current MuJoCo joint name; direction and zero remain unverified,[14],READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,left_wrist_pitch_joint,READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,"POPULATED:[""left_wrist_pitch_joint""]",READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,TORQUE_N_M_DOCUMENTED; PHYSICAL_ORIGIN_UNKNOWN,https://x2-aimdk.agibot.com/en/v0.9.0/Interface/control_mod/joint_control.html
UNKNOWN,left_wrist_roll,left_wrist_roll_joint,UNKNOWN,0,UNKNOWN,UNKNOWN,-86.5,41.5,deg,-1.509710,0.724312,rad,arm,6,Canonical label from official left-first arm array order; Phase2B live index 6 name left_wrist_roll_joint confirmed by passive capture; hardware ID/zero/sign/encoder offset remain UNKNOWN,-90.012,41.482,deg,LEFT_RIGHT_MIRRORED,"FIELD_TEST_EVIDENCE: operator-supplied soft-engineer arm limits and Agentech.heart() endpoint observations, 2026-08-11",CONFIRMED_BY_LIVE_NAME,Live JointState.name at this index in calibration/evidence/x2_phase2b_static_capture.txt,CONFIRMED_NAME_MATCH_ONLY,Live hardware JointState.name exactly equals current MuJoCo joint name; direction and zero remain unverified,[14],READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,left_wrist_roll_joint,READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,"POPULATED:[""left_wrist_roll_joint""]",READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,TORQUE_N_M_DOCUMENTED; PHYSICAL_ORIGIN_UNKNOWN,https://x2-aimdk.agibot.com/en/v0.9.0/Interface/control_mod/joint_control.html
UNKNOWN,right_shoulder_pitch,right_shoulder_pitch_joint,UNKNOWN,0,UNKNOWN,UNKNOWN,-116.5,176.5,deg,-3.080506,2.033309,rad,arm,7,Canonical label from official left-first arm array order; current MJCF range contains an unverified axis reversal; Phase2B live index 7 name right_shoulder_pitch_joint confirmed by passive capture; hardware ID/zero/sign/encoder offset remain UNKNOWN,-176.471,116.883,deg,NOT_ESTABLISHED,"FIELD_TEST_EVIDENCE: operator-supplied soft-engineer arm limits and Agentech.heart() endpoint observations, 2026-08-11",CONFIRMED_BY_LIVE_NAME,Live JointState.name at this index in calibration/evidence/x2_phase2b_static_capture.txt,CONFIRMED_NAME_MATCH_ONLY,Live hardware JointState.name exactly equals current MuJoCo joint name; direction and zero remain unverified,[14],READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,right_shoulder_pitch_joint,READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,"POPULATED:[""right_shoulder_pitch_joint""]",READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,TORQUE_N_M_DOCUMENTED; PHYSICAL_ORIGIN_UNKNOWN,https://x2-aimdk.agibot.com/en/v0.9.0/Interface/control_mod/joint_control.html
UNKNOWN,right_shoulder_roll,right_shoulder_roll_joint,UNKNOWN,0,UNKNOWN,UNKNOWN,-3.5,174.5,deg,-3.045600,0.061087,rad,arm,8,Canonical label from official left-first arm array order; current MJCF range contains an unverified mirrored-side assumption; Phase2B live index 8 name right_shoulder_roll_joint confirmed by passive capture; hardware ID/zero/sign/encoder offset remain UNKNOWN,-171.486,3.495,deg,LEFT_RIGHT_MIRRORED,"FIELD_TEST_EVIDENCE: operator-supplied soft-engineer arm limits and Agentech.heart() endpoint observations, 2026-08-11",CONFIRMED_BY_LIVE_NAME,Live JointState.name at this index in calibration/evidence/x2_phase2b_static_capture.txt,CONFIRMED_NAME_MATCH_ONLY,Live hardware JointState.name exactly equals current MuJoCo joint name; direction and zero remain unverified,[14],READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,right_shoulder_roll_joint,READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,"POPULATED:[""right_shoulder_roll_joint""]",READ_ONLY_CAPTURE: calibration/evidence/x2_phase2b_static_capture.txt,TORQUE_N_M_DOCUMENTED; PHYSICAL_ORIGIN_UNKNOWN,https://x2-aimdk.agibot.com/en/v0.9.0/Interface/control_mod/joint_control.html
