body,region,side,mass_kg,inertial_pos_x_m,inertial_pos_y_m,inertial_pos_z_m,inertial_quat_wxyz,inertia_representation,diaginertia_kg_m2,full_ixx_kg_m2,full_iyy_kg_m2,full_izz_kg_m2,full_ixy_kg_m2,full_ixz_kg_m2,full_iyz_kg_m2,current_source_file,upstream_candidate_file,source_category,source_lineage,lineage_status,hardware_evidence_level,x2_hardware_applicability,notes
pelvis,central,center,5.03181065927,-0.00152667321574,0.00012932923078,0.00289835875658,0.665468563293 0.664924896725 0.239473126314 -0.240164724216,compiled_principal_inertia,0.0138552767554 0.013244213751 0.0107621402371,0.0136064621049,0.0107621449308,0.0134930237078,-2.19209331108e-06,-0.000300218636711,3.07904793557e-06,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\meshes\pelvis.STL,MESH_DERIVED_ESTIMATE,Robothon Master pelvis.STL -> ff_master_ultra.xml collision geom -> MuJoCo compile-time auto-inertia (default geom density); same-bundle URDF pelvis inertial is not used,CONFIRMED_XML_STRUCTURE_AND_COMPILED_RESULT,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,No explicit <inertial> exists on pelvis in current MJCF.
left_hip_pitch_link,lower_limb,left,1.39968,0.00791,0.064136,0.000116,0.706010094427 0.705897094412 0.0403038053905 0.0404307054075,diaginertia+quat,0.00807979 0.007409 0.00155421,0.00799499897879,0.0016390011706,0.00740899985061,0.000738999956471,7.1872381128e-12,1.00061200984e-06,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=2e-06 kg, CoM=0 m, principal inertia=1.15177e-09 kg*m^2."
left_hip_roll_link,lower_limb,left,1.5848,4.7e-05,0.000231,-0.093505,0.703892162287 0.00104942024195 0.00203424046901 0.710303163765,diaginertia+quat,0.0181021 0.0176713 0.00251468,0.0176710480293,0.0181020335128,0.00251499845782,-4.00017855619e-06,-6.59947323715e-05,-2.19999095261e-05,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=4e-06 kg, CoM=0 m, principal inertia=4.7978e-08 kg*m^2."
left_hip_yaw_link,lower_limb,left,2.01055,-0.002375,0.003914,-0.144276,0.647265955174 -0.0202221985995 0.00175223987865 0.761993947228,diaginertia+quat,0.0526993 0.0519961 0.0023845,0.0519739514295,0.0526389510051,0.00246699756541,-7.09998924721e-05,0.00141899911668,-0.00145299860539,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=1e-06 kg, CoM=0 m, principal inertia=4.90675e-08 kg*m^2."
left_knee_link,lower_limb,left,1.56821,-0.002655,0.003681,-0.122697,0.437301957371 -0.00633387938256 0.00636433937959 0.899269912338,diaginertia+quat,0.031041 0.0309424 0.00193262,0.030979006691,0.0309950103046,0.00194200300439,-4.50076756597e-05,0.000170000430018,-0.000494000069535,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=5e-06 kg, CoM=0 m, principal inertia=1.639e-08 kg*m^2."
left_ankle_pitch_link,lower_limb,left,0.747802,0.011691,-0.000181,0.003548,0.723460356303 -0.0457688225411 0.0674454332168 0.685537337626,diaginertia+quat,0.00117429 0.000984841 0.000709871,0.000984999674146,0.00116200206235,0.000722000263505,8.00018587514e-06,-1.10000695324e-05,-7.30003271989e-05,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=0 kg, CoM=0 m, principal inertia=2.13314e-09 kg*m^2."
left_ankle_roll_link,lower_limb,left,1.01617,0.035428,2.5e-05,-0.049572,0.614656886793 0.350345935474 0.350823935386 0.613495887007,diaginertia+quat,0.007937 0.0068711 0.0025949,0.00370000192016,0.00793699641907,0.00576600166077,1.99851773403e-06,-0.00187200143088,-9.9997930933e-07,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=4e-06 kg, CoM=0 m, principal inertia=3.5842e-09 kg*m^2."
right_hip_pitch_link,lower_limb,right,1.40023,0.007909,-0.064114,0.000131,0.705894081899 0.706007081912 -0.040483304697 -0.0403565046822,diaginertia+quat,0.00808102 0.007409 0.00155498,0.00799600238885,0.00163999776052,0.00740899985062,-0.000740000133485,-2.51367000677e-11,-1.00052090796e-06,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=3e-06 kg, CoM=0 m, principal inertia=2.35884e-09 kg*m^2."
right_hip_roll_link,lower_limb,right,1.58508,-0.000586,-0.000228,-0.093568,0.710475852727 -8.90188815474e-06 -0.00101097979044 0.703720854127,diaginertia+quat,0.0181161 0.017694 0.00251594,0.0176940066402,0.0181160304463,0.00251600291348,4.00064100536e-06,2.19999552786e-05,2.20058069303e-05,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=4e-06 kg, CoM=0 m, principal inertia=3.04729e-08 kg*m^2."
right_hip_yaw_link,lower_limb,right,2.00262,-0.002444,-0.003935,-0.144335,0.762367001877 0.00171388000422 -0.0204012000502 0.646821001592,diaginertia+quat,0.0525579 0.0518558 0.0023773,0.05183302571,0.0524969744766,0.00246099981337,7.09920845365e-05,0.00143199869791,0.00145699648452,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=2e-06 kg, CoM=0 m, principal inertia=2.69245e-08 kg*m^2."
right_knee_link,lower_limb,right,1.56588,-0.002699,-0.003794,-0.122288,0.90333982513 0.00657519872716 -0.00663138871628 0.428823916987,diaginertia+quat,0.0308703 0.0307718 0.00192491,0.0308099996187,0.0308220078958,0.00193500248551,4.50206702924e-05,0.000184000354618,0.000508000002081,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=1e-06 kg, CoM=0 m, principal inertia=2.48386e-08 kg*m^2."
right_ankle_pitch_link,lower_limb,right,0.749566,0.011665,0.000937,0.00394,0.718300143406 0.0624712124722 -0.0341460068171 0.692081138172,diaginertia+quat,0.00122381 0.00103716 0.000713034,0.00103700064121,0.00121400302598,0.000723000332811,9.00019475236e-06,-1.09999730701e-05,6.90003725689e-05,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=0 kg, CoM=0 m, principal inertia=3.08833e-09 kg*m^2."
right_ankle_roll_link,lower_limb,right,1.01617,0.035428,2.5e-05,-0.049572,0.614656886793 0.350345935474 0.350823935386 0.613495887007,diaginertia+quat,0.007937 0.0068711 0.0025949,0.00370000192016,0.00793699641907,0.00576600166077,1.99851773403e-06,-0.00187200143088,-9.9997930933e-07,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=4e-06 kg, CoM=0 m, principal inertia=3.5842e-09 kg*m^2."
waist_yaw_link,central,center,1.66854,-0.001359,4.7e-05,0.041703,0.998760130593 0.000921559120499 0.0477625062452 0.014003401831,diaginertia+quat,0.00503206 0.00499998 0.00283196,0.00501199799866,0.00500000470995,0.00285199729139,9.99811308895e-07,-0.000208999638862,1.00001870184e-06,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=2e-06 kg, CoM=0 m, principal inertia=4.71523e-09 kg*m^2."
waist_pitch_link,central,center,0.392413,0.008967,-1e-06,0,0.5 0.5 -0.5 0.5,diaginertia+quat,0.00023 0.000133 0.000133,0.000133,0.000133,0.00023,0,0,0,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=0 kg, CoM=0 m, principal inertia=0 kg*m^2."
torso_link,central,center,10.1441,-0.000188,0.000605,0.191827,0.999959297425 0.00110321032814 0.00818920243577 0.0036226210775,diaginertia+quat,0.479863 0.455999 0.0666413,0.479750806838,0.455998464076,0.0667540290863,0.000186994475157,-0.00676962434223,0.00083299880266,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=3.8e-05 kg, CoM=0 m, principal inertia=4.64101e-07 kg*m^2."
