experiment_id,family,level,wave_knee_absolute_error_improvement_rad,heart_ankle_absolute_error_regression_rad,heart_waist_roll_absolute_error_regression_rad,mean_arm_tracking_rmse_ratio_to_baseline,heart_wave_safety_pass,shared_direction_criteria_pass,classification
bs_mass_lower_minus08,MASS_DISTRIBUTION,minus,-0.004857680897025152,0.0008745756324841925,-8.20622340695007e-05,1.0002460115313108,True,False,PHYSICAL_SENSITIVITY_EXPERIMENT
bs_mass_lower_plus08,MASS_DISTRIBUTION,plus,0.00590845563824266,-0.0004331568751523851,1.5936267154900013e-05,0.999834878952022,True,True,SHARED_PHYSICAL_SENSITIVITY_DIRECTION
bs_inertia_minus10,ROTATIONAL_INERTIA,minus,0.0007249099547289584,0.00013744739802823425,-1.4676584451991936e-06,1.0000501569731355,True,False,PHYSICAL_SENSITIVITY_EXPERIMENT
bs_inertia_plus10,ROTATIONAL_INERTIA,plus,-0.001793461248723538,2.4174715211294773e-05,4.75270558580182e-06,1.000060740853379,True,False,PHYSICAL_SENSITIVITY_EXPERIMENT
bs_damping_005,JOINT_DAMPING,low,-4.386735615086179e-05,-9.364635822889378e-05,3.1077126155989315e-06,1.0000441588818443,True,False,PHYSICAL_SENSITIVITY_EXPERIMENT
bs_damping_015,JOINT_DAMPING,high,0.0014060942033762291,0.00021863967666002626,8.704772398100344e-06,1.0000469009941542,True,False,PHYSICAL_SENSITIVITY_EXPERIMENT
bs_armature_minus20,ARMATURE,minus,0.0006446477307218701,-0.00014478295140449293,-3.234491553198715e-06,1.0000696098391448,True,False,PHYSICAL_SENSITIVITY_EXPERIMENT
bs_armature_plus20,ARMATURE,plus,-0.0008443076191250176,0.0002562034813572145,7.879015032399503e-06,1.000008786151393,True,False,PHYSICAL_SENSITIVITY_EXPERIMENT
bs_friction_minus10,CONTACT_FRICTION,minus,0.0029556308395762287,4.125901578749813e-05,-3.9288325298699606e-05,1.000003311061571,True,False,PHYSICAL_SENSITIVITY_EXPERIMENT
bs_friction_plus10,CONTACT_FRICTION,plus,-0.0007922021796540335,3.292710730712356e-06,3.77451908169929e-06,1.0000361117289647,True,False,PHYSICAL_SENSITIVITY_EXPERIMENT
bs_compliance_stiffer10,CONTACT_COMPLIANCE,minus,-0.0005978031678639528,0.00013998119194222336,-2.249809833219929e-05,1.0000358526037372,True,False,PHYSICAL_SENSITIVITY_EXPERIMENT
bs_compliance_softer10,CONTACT_COMPLIANCE,plus,-0.00044778576645571055,0.0002376775725365099,1.3573351722901902e-05,1.0000228125932145,True,False,PHYSICAL_SENSITIVITY_EXPERIMENT
